"mal_id","dub_status_de"
1,"dubbed"
6,"dubbed"
7,"dubbed"
8,"dubbed"
15,"dubbed, partially dubbed"
16,"dubbed"
17,"unknown"
18,"dubbed"
20,"dubbed"
21,"dubbed"
22,"dubbed, partially dubbed"
23,"unknown"
24,"dubbed"
25,"dubbed"
27,"dubbed"
28,"dubbed"
29,"dubbed"
30,"dubbed"
45,"dubbed"
48,"dubbed"
50,"dubbed"
52,"dubbed"
53,"dubbed"
55,"dubbed"
56,"dubbed"
57,"dubbed"
59,"dubbed"
60,"dubbed"
61,"dubbed"
62,"unknown"
64,"dubbed"
65,"dubbed"
66,"dubbed"
67,"dubbed"
68,"dubbed"
69,"unknown"
71,"dubbed"
72,"dubbed"
73,"dubbed"
74,"dubbed"
75,"dubbed"
76,"dubbed"
77,"dubbed"
80,"dubbed"
85,"dubbed"
86,"dubbed"
89,"unknown"
90,"dubbed"
92,"unknown"
93,"dubbed"
94,"dubbed"
95,"unknown"
96,"dubbed"
97,"dubbed"
98,"dubbed"
99,"dubbed"
100,"dubbed"
101,"dubbed"
102,"unknown"
103,"unknown"
104,"dubbed"
105,"dubbed"
106,"dubbed"
107,"dubbed"
109,"dubbed"
110,"unknown"
111,"dubbed"
112,"unknown"
113,"dubbed"
114,"dubbed"
115,"dubbed"
116,"dubbed"
119,"unknown"
120,"dubbed"
121,"dubbed"
122,"dubbed, partially dubbed"
123,"dubbed"
125,"unknown"
126,"unknown"
127,"dubbed"
129,"dubbed"
130,"dubbed"
131,"dubbed"
132,"dubbed"
134,"dubbed"
135,"dubbed"
136,"dubbed"
141,"dubbed"
142,"unknown"
143,"dubbed"
144,"dubbed"
145,"dubbed"
148,"dubbed"
149,"dubbed"
150,"dubbed"
152,"dubbed"
153,"dubbed"
154,"dubbed"
157,"dubbed"
158,"dubbed"
159,"dubbed"
160,"dubbed"
161,"dubbed"
162,"dubbed"
163,"dubbed"
165,"dubbed"
166,"dubbed"
167,"dubbed"
168,"dubbed"
169,"dubbed"
170,"dubbed, partially dubbed"
171,"dubbed"
173,"dubbed"
174,"dubbed"
175,"dubbed"
177,"dubbed"
178,"dubbed"
180,"dubbed"
181,"dubbed"
182,"dubbed"
183,"unknown"
184,"dubbed"
185,"dubbed"
186,"dubbed"
189,"dubbed"
195,"dubbed"
196,"dubbed"
200,"unknown"
202,"dubbed"
204,"dubbed"
205,"dubbed"
206,"dubbed"
209,"dubbed"
218,"dubbed"
223,"dubbed"
225,"dubbed"
228,"dubbed"
229,"dubbed"
230,"dubbed"
231,"dubbed"
232,"dubbed"
233,"dubbed"
234,"dubbed"
235,"dubbed, partially dubbed"
236,"dubbed"
237,"dubbed"
238,"dubbed"
239,"dubbed"
240,"dubbed"
242,"dubbed"
243,"dubbed"
244,"unknown"
245,"dubbed"
246,"dubbed"
247,"unknown"
248,"unknown"
249,"dubbed"
250,"dubbed, partially dubbed"
251,"dubbed"
252,"dubbed"
253,"dubbed"
260,"dubbed"
261,"unknown"
263,"dubbed"
266,"dubbed"
267,"dubbed"
269,"dubbed"
270,"dubbed"
271,"dubbed"
272,"dubbed"
273,"dubbed"
