"tm_ky","studio_id","studio_de"
1,1099,"Cyclone Graphics"
1,1103,"TROYCA"
1,1109,"Orange"
1,1111,"DandeLion Animation Studio"
1,1119,"Shuka"
1,1127,"Studio 3Hz"
1,1129,"Pierrot Plus"
1,1133,"dwarf"
1,1135,"FOREST Hunting One"
1,1153,"Image Kei"
1,1169,"ILCA"
1,1181,"RG Animation Studios"
1,1189,"Sola Digital Arts"
1,1191,"Azeta Pictures"
1,1195,"Creators in Pack"
1,1209,"Studio A-CAT"
1,1229,"Pie in the sky"
1,1231,"OLM Digital"
1,1237,"Millepensee"
1,1239,"KeyEast"
1,1244,"Studio VOLN"
1,1257,"A-Real"
1,1258,"Bandai Namco Pictures"
1,1260,"Nakamura Production"
1,1263,"Dynamo Pictures"
1,1264,"EMT Squared"
1,1265,"Tomovies"
1,1266,"Studio! Cucuri"
1,1271,"Assez Finaud Fabric"
1,1278,"Signal.MD"
1,1281,"Office DCI"
1,1290,"Pollyanna Graphics"
1,1291,"KOO-KI"
1,1292,"TUBA"
1,1295,"Pine Jam"
1,1296,"Marza Animation Planet"
1,1299,"AXsiZ"
1,1300,"Office Nobu"
1,1306,"AIC Classic"
1,1313,"Amuse"
1,1314,"Gaina"
1,1317,"Production GoodBook"
1,1320,"Joker Films"
1,1325,"Haoliners Animation League"
1,1340,"Typhoon Graphics"
1,1350,"B.CMAY PICTURES"
1,1353,"Issen"
1,1357,"Craftar Studios"
1,1360,"Hoods Drifters Studio"
1,1363,"Marine Entertainment"
1,1379,"Zero-G"
1,1380,"domerica"
1,1381,"GEMBA"
1,1383,"Studio Live"
1,1393,"Geno Studio"
1,1396,"W-Toon Studio"
1,1407,"Children's Playground Entertainment"
1,1436,"Stingray"
1,1437,"Ishimori Entertainment"
1,1440,"Felix Film"
1,1442,"Mook DLE"
1,1444,"Egg Firm"
1,1454,"REALTHING"
1,1456,"Beijing Huihuang Animation Company"
1,1471,"Platinum Vision"
1,1487,"Bouncy"
1,1509,"Studio World"
1,1512,"Dai-Ichi Douga"
1,1513,"Dongyang Animation"
1,1514,"Tengu Kobo"
1,1521,"Studio elle"
1,1529,"Studio M2"
1,1530,"Emon"
1,1536,"Namu Animation"
1,1545,"Japan Taps"
1,1547,"Blade"
1,1549,"Dai Nippon Printing"
1,1560,"Yaoyorozu"
1,1562,"Team YokkyuFuman"
1,1567,"Nut"
1,1569,"Seven Arcs Pictures"
1,1591,"Science SARU"
1,1661,"drop"
1,1662,"Creators Dot Com"
1,1669,"production doA"
1,1673,"DMM.futureworks"
1,1687,"Yokohama Animation Lab"
1,1690,"Imagineer"
1,1692,"Revoroot"
1,1693,"Studio Flad"
1,1722,"Bibury Animation Studios"
1,1754,"Meruhensha"
1,1766,"Husio Studio"
1,1768,"Sparkly Key Animation Studio"
1,1769,"helo.inc"
1,1794,"EKACHI EPILKA"
1,1797,"NHK Enterprises"
1,1813,"Studio Lings"
1,1828,"Lapin Track"
1,1829,"Lesprit"
1,1835,"CloverWorks"
1,1837,"G-angle"
1,1846,"Tokyo Movie"
1,1849,"MASTER LIGHTS"
1,1853,"Saetta"
1,1857,"GEEK TOYS"
1,1860,"Magia Doraglier"
1,1864,"Ez<U+03CC>la"
1,1872,"P.I.C.S."
1,1873,"Silver"
1,1874,"Arvo Animation"
1,1887,"Brio Animation"
1,1890,"Tear Studio"
1,1892,"Sublimation"
1,1893,"CygamesPictures"
1,1903,"IMAGICA Lab."
1,1927,"Studio Crocodile"
1,1939,"Alpha Animation"
1,1945,"Lide"
1,1947,"Kate Arrow"
1,1952,"Animation Staff Room"
1,1967,"Drive"
1,1971,"Gainax Kyoto"
1,1972,"HOTZIPANG"
1,1973,"Monster's Egg"
1,1974,"ENGI"
1,1978,"Maho Film"
1,1982,"LIDENFILMS Osaka Studio"
1,1983,"Anima&Co."
1,1984,"Bakken Record"
1,1993,"Studio Bind"
1,1997,"Studio Kai"
1,1998,"Studio Signpost"
1,1999,"Albacrow"
1,2004,"Sunrise Beyond"
1,2009,"Yostar Pictures"
1,2027,"Team TillDawn"
1,2034,"Akatsuki"
1,2037,"Okuruto Noboru"
1,2040,"Maro Studio"
1,2048,"ASK Animation Studio"
1,2052,"Wolfsbane"
1,2053,"l-a-unch·BOX"
1,2056,"DRAWIZ"
1,2057,"Toho Interactive Animation"
1,2080,"Super Normal Studio"
1,2085,"Acca effe"
1,2086,"Giga Production"
1,2097,"HORNETS"
1,2115,"Gosay Studio"
1,2129,"Visual Flight"
1,2134,"CANDY BOX"
1,2140,"Qianqi Animation"
1,2142,"LEVELS"
1,2201,"Studio Palette"
1,2204,"OZ"
1,2226,"Gambit"
1,2246,"studio MOTHER"
1,2248,"Indivision"
1,2256,"Kitty Film Mitaka Studio"
1,2257,"XEBEC M2"
1,2282,"Studio Guts"
1,2299,"GIFTanimation"
1,2300,"Studio Jemi"
1,2305,"Fukushima Gaina"
1,2306,"LIDENFILMS Kyoto Studio"
1,2314,"Quad"
1,2326,"OLM Team Yoshioka"
1,2342,"PP Project"
1,2366,"Kigumi"
1,2371,"Planet Cartoon"
2,1,"Studio Pierrot"
2,2,"Kyoto Animation"
2,3,"Gonzo"
2,4,"Bones"
2,5,"Bee Train"
2,6,"Gainax"
2,7,"J.C.Staff"
2,8,"Artland"
2,10,"Production I.G"
2,11,"Madhouse"
2,13,"Studio 4°C"
2,14,"Sunrise"
2,18,"Toei Animation"
2,21,"Studio Ghibli"
2,22,"Nippon Animation"
2,24,"Studio Fantasia"
2,27,"Xebec"
2,28,"OLM"
2,30,"Ajia-Do"
2,32,"Manglobe"
2,34,"Hal Film Maker"
2,35,"Seven Arcs"
2,36,"Gallop"
2,37,"Studio Deen"
2,38,"Arms"
2,39,"Daume"
2,41,"Satelight"
2,43,"ufotable"
2,44,"Shaft"
2,48,"AIC"
2,49,"Remic"
2,50,"KSS"
2,51,"Diomedéa"
2,56,"A-1 Pictures"
2,59,"Beat Frog"
2,60,"Actas"
2,63,"Trinet Entertainment"
2,64,"Sotsu"
